,Date,Avg. Temp (C),Moisture (%),Water needed (mL)
0,2023-04-01,33,68,139
1,2023-04-02,31,66,140
2,2023-04-03,29,62,123
3,2023-04-04,33,61,142
4,2023-04-05,31,60,134
5,2023-04-06,34,70,150
6,2023-04-07,34,68,140
7,2023-04-08,30,68,140
8,2023-04-09,31,68,128
9,2023-04-10,30,64,139
10,2023-04-11,31,68,150
11,2023-04-12,33,66,130
12,2023-04-13,30,67,138
13,2023-04-14,31,66,138
14,2023-04-15,30,67,121
15,2023-04-16,31,67,121
16,2023-04-17,34,66,138
17,2023-04-18,31,67,135
18,2023-04-19,30,62,136
19,2023-04-20,28,68,120
20,2023-04-21,29,69,137
21,2023-04-22,34,66,141
22,2023-04-23,33,63,135
23,2023-04-24,31,64,150
24,2023-04-25,31,62,122
25,2023-04-26,30,69,133
26,2023-04-27,32,63,135
27,2023-04-28,34,61,138
28,2023-04-29,31,70,126
29,2023-04-30,31,70,138
30,2023-04-01,34,69,147
31,2023-04-02,31,60,136
32,2023-04-03,34,61,128
33,2023-04-04,31,64,140
34,2023-04-05,33,70,137
35,2023-04-06,32,65,125
36,2023-04-07,28,63,149
37,2023-04-08,30,63,122
38,2023-04-09,28,69,138
39,2023-04-10,28,60,135
40,2023-04-11,29,62,134
41,2023-04-12,29,70,130
42,2023-04-13,33,64,141
43,2023-04-14,32,63,130
44,2023-04-15,31,67,130
45,2023-04-16,29,63,137
46,2023-04-17,29,63,150
47,2023-04-18,28,65,150
48,2023-04-19,32,67,134
49,2023-04-20,31,69,137
50,2023-04-21,29,66,149
51,2023-04-22,34,63,141
52,2023-04-23,32,68,142
53,2023-04-24,34,65,134
54,2023-04-25,29,61,127
55,2023-04-26,33,65,146
56,2023-04-27,31,70,136
57,2023-04-28,32,64,136
58,2023-04-29,30,60,139
59,2023-04-30,34,65,137
60,2023-05-01,29,65,125
61,2023-05-02,30,69,146
62,2023-05-03,32,60,150
63,2023-05-04,32,69,144
64,2023-05-05,30,69,127
65,2023-05-06,28,70,120
66,2023-05-07,34,69,137
67,2023-05-08,32,68,125
68,2023-05-09,34,70,123
69,2023-05-10,32,70,127
70,2023-05-11,29,64,128
71,2023-05-12,30,66,137
72,2023-05-13,33,60,124
73,2023-05-14,30,69,123
74,2023-05-15,33,70,127
75,2023-05-16,28,61,130
76,2023-05-17,34,67,131
77,2023-05-18,34,60,147
78,2023-05-19,34,60,126
79,2023-05-20,28,67,150
80,2023-05-21,34,61,149
81,2023-05-22,30,70,141
82,2023-05-23,31,68,140
83,2023-05-24,29,67,133
84,2023-05-25,32,62,126
85,2023-05-26,31,67,124
86,2023-05-27,29,62,150
87,2023-05-28,28,65,121
88,2023-05-29,34,67,125
89,2023-05-30,31,69,136
90,2023-05-31,33,64,130
