Date,Avg_Temp_C,Moisture,Water_needed_mL
4/1/2023,29,70,100
4/2/2023,31,68,120
4/3/2023,32,66,130
4/4/2023,33,64,140
4/5/2023,34,62,150
4/6/2023,33,60,140
4/7/2023,32,62,130
4/8/2023,31,64,120
4/9/2023,30,66,110
4/10/2023,29,68,100
4/11/2023,31,70,120
4/12/2023,32,68,130
4/13/2023,33,66,140
4/14/2023,34,64,150
4/15/2023,33,62,140
4/16/2023,32,60,130
4/17/2023,31,62,120
4/18/2023,30,64,110
4/19/2023,29,66,100
4/20/2023,31,68,120
4/21/2023,32,66,130
4/22/2023,33,64,140
4/23/2023,34,62,150
4/24/2023,33,60,140
4/25/2023,32,62,130
4/26/2023,31,64,120
4/27/2023,30,66,110
4/28/2023,29,68,100
4/29/2023,31,70,120
4/30/2023,32,68,130
5/1/2023,30,65,100
5/2/2023,31,69,120
5/3/2023,32,60,130
5/4/2023,33,69,140
5/5/2023,34,69,150
5/6/2023,35,70,140
5/7/2023,32,69,130
5/8/2023,31,68,120
5/9/2023,30,70,110
5/10/2023,28,70,100
5/11/2023,31,64,120
5/12/2023,33,66,130
5/13/2023,33,60,140
5/14/2023,34,69,150
5/15/2023,33,70,140
5/16/2023,32,61,130
5/17/2023,33,67,120
5/18/2023,30,60,110
5/19/2023,29,60,100
5/20/2023,31,67,120
5/21/2023,32,61,130
5/22/2023,31,70,140
5/23/2023,34,68,150
5/24/2023,33,67,140
5/25/2023,32,62,130
5/26/2023,32,67,120
5/27/2023,30,62,110
5/28/2023,29,65,100
5/29/2023,31,67,120
5/30/2023,32,69,130
5/31/2023,30,64,100
